Wall time,Step,Value
1770734572.4123638,843,170.00750732421875
1770734582.0584722,844,200.67312622070312
1770734593.768108,846,170.41983032226562
1770734601.1743104,847,148.60250854492188
1770734613.1547282,848,167.6297149658203
1770734620.135618,849,116.58377838134766
1770734629.9063303,851,126.78092193603516
1770734641.046357,852,173.31369018554688
1770734645.472218,853,167.31271362304688
1770734652.3847332,854,109.06340789794922
1770734662.7833462,856,179.53170776367188
1770734678.4520671,858,101.7916259765625
1770734698.2061183,860,127.73533630371094
1770734745.2389302,861,127.23095703125
1770734751.5982397,862,205.61831665039062
1770734756.8517306,863,164.37979125976562
1770734766.5170388,864,146.98748779296875
1770734795.4480767,868,138.11900329589844
1770734801.5565383,869,207.43760681152344
1770734812.5000718,870,191.5232696533203
1770734818.3085632,871,196.26217651367188
1770734842.0804718,874,202.0042724609375
1770734846.5608976,875,217.15867614746094
1770734858.2734854,876,169.5380859375
1770734867.8268306,877,207.9937286376953
1770734876.3987799,878,215.06292724609375
1770734892.5063753,880,190.47569274902344
1770734906.6358619,881,208.62351989746094
1770734916.818506,882,142.66270446777344
1770734925.3923526,883,224.3227996826172
1770734941.6536808,885,164.00177001953125
1770734956.5538192,887,152.424072265625
1770734965.5659611,888,146.859130859375
1770734970.525492,889,208.55908203125
1770734975.5623648,890,137.15505981445312
1770734984.3695114,891,32.98659896850586
1770735004.9752405,893,87.84017181396484
1770735014.7573888,894,79.36132049560547
1770735019.1213408,895,82.86051940917969
1770735033.2465644,897,68.86143493652344
1770735042.1736872,898,101.20455169677734
1770735059.206054,900,98.99540710449219
1770735111.9564054,901,-200.97535705566406
1770735140.9215193,905,-139.3333282470703
1770735147.2956736,906,-91.1299819946289
1770735158.9682217,908,-127.78367614746094
1770735159.6955488,909,-54.73884201049805
1770735163.6140015,910,-93.50554656982422
1770735173.7048233,911,-115.1158218383789
1770735184.1041622,912,-116.2970962524414
1770735187.4548695,913,-69.68352508544922
1770735192.3321943,914,-102.07330322265625
1770735201.3577383,916,-89.93962097167969
1770735203.8204262,917,-92.18216705322266
1770735208.4341323,918,-121.2710189819336
1770735234.9040575,921,-136.77389526367188
1770735239.7525668,922,-104.5754165649414
1770735242.3079503,923,-83.85438537597656
1770735253.9837162,924,-92.87994384765625
1770735270.8266635,926,10.290075302124023
1770735305.068899,932,-164.1045379638672
1770735307.0782888,933,-48.11253356933594
1770735313.6949518,934,-143.2712860107422
1770735317.9516628,935,-87.40836334228516
1770735324.9434195,936,-111.94380950927734
1770735354.1302762,940,-79.47103881835938
1770735379.081073,943,-149.51490783691406
1770735388.2586386,944,-91.6662368774414
1770735398.9783564,946,-114.71812438964844
1770735418.2258627,949,-136.5538330078125
1770735429.2429974,950,-172.30862426757812
1770735434.518875,952,-51.337581634521484
1770735435.9169059,953,-67.77336883544922
1770735442.6293724,954,-102.51471710205078
1770735451.637985,955,-122.63074493408203
1770735463.6361697,957,-98.88673400878906
1770735470.669321,958,-92.61170196533203
1770735473.1797311,959,-76.90776062011719
1770735482.8436713,960,-175.6104278564453
1770735529.1661544,961,-123.01460266113281
1770735531.9811845,962,-71.59030151367188
1770735535.0536017,963,-90.01649475097656
1770735540.5641303,964,-109.88858795166016
1770735547.4533117,965,-106.23394775390625
1770735554.7850037,967,-73.55029296875
1770735559.3956885,968,-94.22354125976562
1770735575.7391195,970,-104.18128967285156
1770735585.7964594,972,-72.78285217285156
1770735589.4776986,973,-100.45849609375
1770735600.9010034,975,-126.93801879882812
1770735614.34888,977,-106.07909393310547
1770735619.9545703,978,-99.16567993164062
1770735621.6657872,979,-80.2691650390625
1770735632.7308276,980,-143.25680541992188
1770735721.2578049,983,-87.91438293457031
1770735732.774396,984,-121.52250671386719
1770735735.848298,985,-79.73773956298828
